# signature,name,lat,lon,radius_m
Uö,Uppsala Östra,59.857789,17.649482,170
Fl,Fyrislund,59.858439,17.682280,100
Ås,Årsta,59.864189,17.702582,100
Sa,Skölsta,59.874474,17.744147,100
B,Bärby,59.857041,17.815474,100
Ga,Gunsta,59.852810,17.834089,100
Ml,Marielund,59.842863,17.875062,150
Lh,Lövstahagen,59.847225,17.886948,100
Slä,Selknä,59.855656,17.908502,100
Löt,Löt,59.866394,17.944103,100
Lna,Länna,59.871721,17.958957,120
Alg,Almunge,59.875915,18.044451,120
Mg,Moga,59.896000,18.062078,100
Frg,Faringe,59.919980,18.115517,350